altitude,temperature,pressure,density
0,288.149993896484,101324.996948242,1.22497705725583
10,288.068756103516,101174.926757813,1.22350771319757
20,287.987487792969,101025.032043457,1.22203979229816
30,287.90625,100875.32043457,1.22057312885284
40,287.824981689453,100725.784301758,1.21910789057222
50,287.743743896484,100576.438903809,1.21764400464826
60,287.662506103516,100427.261352539,1.21618132453748
70,287.581237792969,100278.274536133,1.21472025742142
80,287.5,100129.455566406,1.21326026929778
90,287.418762207031,99980.827331543,1.21180176762591
100,287.337524414063,99832.3745727539,1.21034456867256
110,287.256256103516,99684.0972900391,1.20888880197309
120,287.175018310547,99535.9954833984,1.20743421165554
130,287.093780517578,99388.0844116211,1.20598111252716
140,287.012512207031,99240.3411865234,1.20452935612461
150,286.931274414063,99092.7810668945,1.20307887246619
160,286.850036621094,98945.3964233398,1.2016296982817
170,286.768798828125,98798.1948852539,1.20018192736447
180,286.687530517578,98651.1688232422,1.1987355958048
190,286.606292724609,98504.3182373047,1.19729044939223
200,286.525054931641,98357.6507568359,1.19584670972462
210,286.443817138672,98211.1511230469,1.19440419242768
220,286.362579345703,98064.8345947266,1.19296308416557
230,286.281341552734,97918.701171875,1.1915233861378
240,286.200073242188,97772.7355957031,1.19008504071506
250,286.118835449219,97626.953125,1.18864798080806
260,286.03759765625,97481.3385009766,1.18721214880194
270,285.956359863281,97335.9069824219,1.18577773163074
280,285.875122070313,97190.6509399414,1.18434463753045
290,285.793884277344,97045.5703735352,1.18291286762933
300,285.712646484375,96900.6652832031,1.18148242305693
310,285.631408691406,96755.9356689453,1.18005330494408
320,285.550170898438,96611.3815307617,1.17862551442288
330,285.468902587891,96467.0104980469,1.17719927157574
340,285.387664794922,96322.8073120117,1.1757741395493
350,285.306427001953,96178.7796020508,1.1743503385187
360,285.225189208984,96034.9273681641,1.17292786962123
370,285.143951416016,95891.2506103516,1.17150673399545
380,285.062713623047,95747.7493286133,1.17008693278126
390,284.981475830078,95604.4158935547,1.16866837385809
400,284.900238037109,95461.2655639648,1.16725124486528
410,284.819000244141,95318.2830810547,1.16583536039655
420,284.737762451172,95175.4837036133,1.1644209082002
430,284.656524658203,95032.8521728516,1.16300770276612
440,284.575317382813,94890.3961181641,1.16159571398849
450,284.494079589844,94748.1079101563,1.16018509884733
460,284.412841796875,94605.9951782227,1.15877582717683
470,284.331604003906,94464.0579223633,1.15736790012852
480,284.250366210938,94322.2961425781,1.15596131885529
490,284.169128417969,94180.7022094727,1.15455599098299
500,284.087890625,94039.2837524414,1.15315201114196
510,284.006652832031,93898.0407714844,1.15174938048897
520,283.925415039063,93756.965637207,1.15034800657353
530,283.844177246094,93616.0659790039,1.14894798411008
540,283.762969970703,93475.3341674805,1.14754909718279
550,283.681732177734,93334.7778320313,1.14615168750595
560,283.600494384766,93194.3893432617,1.1447555389976
570,283.519256591797,93054.1763305664,1.14336074648457
580,283.438018798828,92914.1387939453,1.14196731113279
590,283.356811523438,92774.2614746094,1.14057492367651
600,283.275573730469,92634.5672607422,1.13918411238789
610,283.1943359375,92495.0332641602,1.13779447401194
620,283.113098144531,92355.6747436523,1.13640619731273
630,283.031890869141,92216.4916992188,1.13501916108066
640,282.950653076172,92077.4688720703,1.13363342350594
650,282.869415283203,91938.6291503906,1.13224914497962
660,282.788177490234,91799.9496459961,1.13086604480396
670,282.706970214844,91661.4456176758,1.12948419009365
680,282.625732421875,91523.1094360352,1.12810373195329
690,282.544494628906,91384.9411010742,1.12672454944289
700,282.463287353516,91246.940612793,1.12534652207965
710,282.382049560547,91109.1156005859,1.12396998836634
720,282.300811767578,90971.4508056641,1.12259463949547
730,282.219604492188,90833.9691162109,1.1212206377712
740,282.138366699219,90696.6400146484,1.11984785025392
750,282.05712890625,90559.4940185547,1.11847653344662
760,281.975921630859,90422.5082397461,1.1171062849513
770,281.894683837891,90285.6903076172,1.11573744199591
780,281.8134765625,90149.0478515625,1.11436985831117
790,281.732238769531,90012.565612793,1.11300358787956
800,281.651000976563,89876.2588500977,1.11163869967362
810,281.569793701172,89740.1123046875,1.1102748857705
820,281.488555908203,89604.1412353516,1.10891257682691
830,281.407348632813,89468.3303833008,1.10755134459085
840,281.326110839844,89332.6873779297,1.10619152490511
850,281.244903564453,89197.2122192383,1.10483287878259
860,281.163665771484,89061.9049072266,1.10347564722561
870,281.082458496094,88926.7654418945,1.1021195917007
880,281.001220703125,88791.7938232422,1.10076495276201
890,280.920013427734,88656.9900512695,1.09941149232913
900,280.838775634766,88522.346496582,1.09805935587122
910,280.757568359375,88387.8707885742,1.09670840034303
920,280.676330566406,88253.5629272461,1.09535886540412
930,280.595123291016,88119.4229125976,1.0940105138784
940,280.513916015625,87985.4431152344,1.09266337135936
950,280.432678222656,87851.6311645508,1.09131765243243
960,280.351470947266,87717.9870605469,1.08997312059822
970,280.270233154297,87584.5031738281,1.08862991957205
980,280.189025878906,87451.1947631836,1.08728800293629
990,280.107818603516,87318.0389404297,1.08594720590674
1000,280.026580810547,87185.0509643555,1.08460783748293
1010,279.945373535156,87052.2308349609,1.08326966229037
1020,279.864166259766,86919.5785522461,1.08193279978406
1030,279.782928466797,86787.0788574219,1.08059717898499
1040,279.701721191406,86654.7546386719,1.07926285009291
1050,279.620513916016,86522.590637207,1.07792974221525
1060,279.539276123047,86390.5868530273,1.07659797394936
1070,279.458068847656,86258.7509155273,1.07526740628799
1080,279.376861572266,86127.0751953125,1.07393806289248
1090,279.295623779297,85995.5596923828,1.07261006203076
1100,279.214416503906,85864.2120361328,1.07128326544897
1110,279.133209228516,85733.0322265625,1.06995779161159
1120,279.052001953125,85602.0050048828,1.06863345118664
1130,278.970764160156,85471.1456298828,1.06731055246294
1140,278.889556884766,85340.4541015625,1.06598886297368
1150,278.808349609375,85209.9151611328,1.06466831009185
1160,278.727142333984,85079.5440673828,1.06334908551969
1170,278.645935058594,84949.333190918,1.06203109503638
1180,278.564727783203,84819.2825317383,1.06071433972119
1190,278.483489990234,84689.3997192383,1.05939903218659
1200,278.402282714844,84559.6694946289,1.05808475036818
1210,278.321075439453,84430.1071166992,1.05677180245693
1220,278.239868164063,84300.7049560547,1.05546009409938
1230,278.158660888672,84171.4630126953,1.05414962638118
1240,278.077453613281,84042.3812866211,1.05284040038925
1250,277.996246337891,83913.459777832,1.05153241721177
1260,277.9150390625,83784.7061157227,1.05022577357126
1270,277.833801269531,83656.1050415039,1.04892039453487
1280,277.752593994141,83527.6718139648,1.04761624194993
1290,277.67138671875,83399.3911743164,1.04631324088402
1300,277.590179443359,83271.2707519531,1.04501148809271
1310,277.508972167969,83143.3181762695,1.04371108044484
1320,277.427764892578,83015.5181884766,1.0424118275196
1330,277.346557617188,82887.8784179688,1.04111382616036
1340,277.265350341797,82760.3988647461,1.03981707746684
1350,277.184143066406,82633.0795288086,1.03852158254001
1360,277.102935791016,82505.9204101563,1.03722734248216
1370,277.021728515625,82378.9215087891,1.03593435839686
1380,276.940521240234,82252.0751953125,1.03464253541941
1390,276.859313964844,82125.3890991211,1.03335197056924
1400,276.778106689453,81998.8632202148,1.03206266495376
1410,276.696899414063,81872.4975585938,1.03077461968169
1420,276.61572265625,81746.2844848633,1.02948762620272
1430,276.534515380859,81620.2392578125,1.0282021050291
1440,276.453308105469,81494.3466186523,1.02691775139403
1450,276.372100830078,81368.6065673828,1.02563456632672
1460,276.290893554688,81243.0267333984,1.02435264705277
