Time,Altitude,Downrange
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.33,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.34,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.35,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0,85.37,0
0.08,85.37,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.39,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.42,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.45,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.08,85.49,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.54,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.59,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.65,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.16,85.72,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.79,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.86,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,85.95,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.24,86.03,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.13,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.23,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.33,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.32,86.44,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.56,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.68,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.81,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
