Time,Signal,Setpoint
0,0.06,-5
0,0.06,-5
0,0.06,-5
0,0.06,-5
0.02,0.06,-5
0.02,0.06,-5
0.02,0.06,-5
0.02,0.06,-5
0.02,0.06,-5
0.04,0.06,-5
0.04,0.06,-5
0.04,0.06,-5
0.04,0.06,-5
0.06,0.06,-5
0.06,0.06,-5
0.06,0.06,-5
0.06,0.06,-5
0.06,0.06,-5
0.08,0.06,-5
0.08,0.06,-5
0.08,0.06,-5
0.08,0.06,-5
0.08,0.06,-5
0.1,0.06,-5
0.1,0.06,-5
0.1,0.06,-5
0.1,0.06,-5
0.12,0.06,-5
0.12,0.06,-5
0.12,0.06,-5
0.12,0.06,-5
0.12,0.06,-5
0.14,0.06,-5
0.14,0.06,-5
0.14,0.06,-5
0.14,0.06,-5
0.16,0.06,-5
0.16,0.06,-5
0.16,0.06,-5
0.16,0.06,-5
0.16,0.06,-5
0.18,0.06,-5
0.18,0.06,-5
0.18,0.06,-5
0.18,0.06,-5
0.2,0.06,-5
0.2,0.06,-5
0.2,0.06,-5
0.2,0.06,-5
0.2,0.06,-5
0.22,0.06,-5
0.22,0.06,-5
0.22,0.06,-5
0.22,0.06,-5
0.24,0.06,-5
0.24,0.06,-5
0.24,0.06,-5
0.24,0.06,-5
0.24,0.06,-5
0.26,0.06,-5
0.26,0.06,-5
0.26,0.06,-5
0.26,0.06,-5
0.26,0.06,-5
0.28,0.06,-5
0.28,0.06,-5
0.28,0.06,-5
0.28,0.06,-5
0.3,0.06,-5
0.3,0.06,-5
0.3,0.06,-5
0.3,0.06,-5
0.3,0.06,-5
0.32,0.05,-5
0.32,0.05,-5
0.32,0.05,-5
0.32,0.05,-5
0.34,0.05,-5
0.34,0.05,-5
0.34,0.05,-5
0.34,0.05,-5
0.34,0.05,-5
0.36,0.04,-5
0.36,0.04,-5
0.36,0.04,-5
0.36,0.04,-5
0.38,0.04,-5
0.38,0.03,-5
0.38,0.03,-5
0.38,0.03,-5
0.38,0.03,-5
0.4,0.03,-5
0.4,0.03,-5
0.4,0.03,-5
0.4,0.03,-5
0.4,0.03,-5
0.42,0.02,-5
0.42,0.02,-5
0.42,0.02,-5
0.42,0.02,-5
0.44,0.02,-5
0.44,0.01,-5
0.44,0.01,-5
0.44,0.01,-5
0.44,0.01,-5
0.46,0,-5
0.46,0,-5
0.46,0,-5
0.46,0,-5
0.46,0,-5
0.48,-0.01,-5
0.48,-0.01,-5
0.48,-0.01,-5
0.48,-0.01,-5
0.5,-0.01,-5
0.5,-0.02,-5
0.5,-0.02,-5
0.5,-0.02,-5
0.5,-0.02,-5
0.52,-0.04,-5
0.52,-0.04,-5
0.52,-0.04,-5
0.52,-0.04,-5
0.54,-0.04,-5
0.54,-0.05,-5
0.54,-0.05,-5
0.54,-0.05,-5
0.54,-0.05,-5
0.56,-0.06,-5
0.56,-0.06,-5
0.56,-0.06,-5
0.56,-0.06,-5
0.56,-0.06,-5
0.58,-0.08,-5
0.58,-0.08,-5
0.58,-0.08,-5
0.58,-0.08,-5
0.6,-0.08,-5
0.6,-0.1,-5
0.6,-0.1,-5
0.6,-0.1,-5
0.6,-0.1,-5
0.62,-0.11,-5
0.62,-0.11,-5
0.62,-0.11,-5
0.62,-0.11,-5
0.62,-0.11,-5
0.64,-0.13,-5
0.64,-0.13,-5
0.64,-0.13,-5
0.64,-0.13,-5
0.66,-0.13,-5
0.66,-0.15,-5
0.66,-0.15,-5
0.66,-0.15,-5
0.66,-0.15,-5
0.68,-0.17,-5
0.68,-0.17,-5
0.68,-0.17,-5
0.68,-0.17,-5
0.7,-0.17,-5
0.7,-0.19,-5
0.7,-0.19,-5
0.7,-0.19,-5
0.7,-0.19,-5
0.72,-0.21,-5
0.72,-0.21,-5
0.72,-0.21,-5
0.72,-0.21,-5
0.72,-0.21,-5
0.74,-0.24,-5
0.74,-0.24,-5
0.74,-0.24,-5
0.74,-0.24,-5
0.76,-0.24,-5
0.76,-0.26,-5
0.76,-0.26,-5
0.76,-0.26,-5
0.76,-0.26,-5
0.78,-0.28,-5
0.78,-0.28,-5
0.78,-0.28,-5
0.78,-0.28,-5
0.8,-0.28,-5
0.8,-0.31,-5
0.8,-0.31,-5
0.8,-0.31,-5
0.8,-0.31,-5
0.82,-0.33,-5
0.82,-0.33,-5
0.82,-0.33,-5
0.82,-0.33,-5
0.82,-0.33,-5
0.84,-0.36,-5
0.84,-0.36,-5
0.84,-0.36,-5
0.84,-0.36,-5
0.86,-0.36,-5
0.86,-0.38,-5
0.86,-0.38,-5
0.86,-0.38,-5
0.86,-0.38,-5
0.88,-0.41,-5
0.88,-0.41,-5
0.88,-0.41,-5
0.88,-0.41,-5
0.9,-0.41,-5
0.9,-0.44,-5
0.9,-0.44,-5
0.9,-0.44,-5
0.9,-0.44,-5
0.92,-0.47,-5
0.92,-0.47,-5
0.92,-0.47,-5
0.92,-0.47,-5
0.94,-0.47,-5
0.94,-0.49,-5
0.94,-0.49,-5
0.94,-0.49,-5
0.94,-0.49,-5
0.96,-0.52,-5
0.96,-0.52,-5
0.96,-0.52,-5
0.96,-0.52,-5
0.96,-0.52,-5
0.98,-0.55,-5
0.98,-0.55,-5
0.98,-0.55,-5
0.98,-0.55,-5
1,-0.58,-5
1,-0.58,-5
1,-0.58,-5
1,-0.58,-5
1,-0.58,-5
1.02,-0.61,-5
1.02,-0.61,-5
1.02,-0.61,-5
1.02,-0.61,-5
1.04,-0.61,-5
1.04,-0.64,-5
1.04,-0.64,-5
1.04,-0.64,-5
1.04,-0.64,-5
1.06,-0.66,-5
1.06,-0.66,-5
1.06,-0.66,-5
1.06,-0.66,-5
1.08,-0.66,-5
1.08,-0.69,-5
1.08,-0.69,-5
1.08,-0.69,-5
1.08,-0.69,-5
1.1,-0.72,-5
1.1,-0.72,-5
1.1,-0.72,-5
1.1,-0.72,-5
1.12,-0.72,-5
1.12,-0.75,-5
1.12,-0.75,-5
1.12,-0.75,-5
1.12,-0.75,-5
1.14,-0.78,-5
1.14,-0.78,-5
1.14,-0.78,-5
1.14,-0.78,-5
1.14,-0.78,-5
1.16,-0.81,-5
1.16,-0.81,-5
1.16,-0.81,-5
1.16,-0.81,-5
1.18,-0.81,-5
1.18,-0.84,-5
1.18,-0.84,-5
1.18,-0.84,-5
1.18,-0.84,-5
1.2,-0.87,-5
1.2,-0.87,-5
1.2,-0.87,-5
1.2,-0.87,-5
1.22,-0.87,-5
1.22,-0.9,-5
1.22,-0.9,-5
1.22,-0.9,-5
1.22,-0.9,-5
1.24,-0.92,-5
1.24,-0.92,-5
1.24,-0.92,-5
1.24,-0.92,-5
1.26,-0.92,-5
1.26,-0.95,-5
1.26,-0.95,-5
1.26,-0.95,-5
1.26,-0.95,-5
1.28,-0.98,-5
1.28,-0.98,-5
1.28,-0.98,-5
1.28,-0.98,-5
1.3,-0.98,-5
1.3,-1.01,-5
1.3,-1.01,-5
1.3,-1.01,-5
1.3,-1.01,-5
1.32,-1.04,-5
1.32,-1.04,-5
1.32,-1.04,-5
1.32,-1.04,-5
1.32,-1.04,-5
1.34,-1.06,-5
1.34,-1.06,-5
1.34,-1.06,-5
1.34,-1.06,-5
1.36,-1.06,-5
1.36,-1.09,-5
1.36,-1.09,-5
1.36,-1.09,-5
1.36,-1.09,-5
1.38,-1.12,-5
1.38,-1.12,-5
1.38,-1.12,-5
1.38,-1.12,-5
1.4,-1.12,-5
1.4,-1.15,-5
1.4,-1.15,-5
1.4,-1.15,-5
1.4,-1.15,-5
1.42,-1.17,-5
1.42,-1.17,-5
1.42,-1.17,-5
1.42,-1.17,-5
1.44,-1.17,-5
1.44,-1.2,-5
1.44,-1.2,-5
1.44,-1.2,-5
1.44,-1.2,-5
1.46,-1.22,-5
1.46,-1.22,-5
1.46,-1.22,-5
1.46,-1.22,-5
1.48,-1.22,-5
1.48,-1.25,-5
1.48,-1.25,-5
1.48,-1.25,-5
1.48,-1.25,-5
1.5,-1.28,-5
1.5,-1.28,-5
1.5,-1.28,-5
1.5,-1.28,-5
1.5,-1.28,-5
1.52,-1.3,-5
1.52,-1.3,-5
1.52,-1.3,-5
1.52,-1.3,-5
1.54,-1.3,-5
1.54,-1.33,-5
1.54,-1.33,-5
1.54,-1.33,-5
1.54,-1.33,-5
1.56,-1.35,-5
1.56,-1.35,-5
1.56,-1.35,-5
1.56,-1.35,-5
1.58,-1.35,-5
1.58,-1.37,-5
1.58,-1.37,-5
1.58,-1.37,-5
1.58,-1.37,-5
1.6,-1.4,-5
1.6,-1.4,-5
1.6,-1.4,-5
1.6,-1.4,-5
1.62,-1.4,-5
1.62,-1.42,-5
1.62,-1.42,-5
1.62,-1.42,-5
1.62,-1.42,-5
1.64,-1.44,-5
1.64,-1.44,-5
1.64,-1.44,-5
1.64,-1.44,-5
1.64,-1.44,-5
1.66,-1.47,-5
1.66,-1.47,-5
1.66,-1.47,-5
1.66,-1.47,-5
1.68,-1.49,-5
1.68,-1.49,-5
1.68,-1.49,-5
1.68,-1.49,-5
1.68,-1.49,-5
1.7,-1.51,-5
1.7,-1.51,-5
1.7,-1.51,-5
1.7,-1.51,-5
1.72,-1.51,-5
1.72,-1.53,-5
1.72,-1.53,-5
1.72,-1.53,-5
1.72,-1.53,-5
1.74,-1.55,-5
1.74,-1.55,-5
1.74,-1.55,-5
1.74,-1.55,-5
1.74,-1.55,-5
1.76,-1.57,-5
1.76,-1.57,-5
1.76,-1.57,-5
1.76,-1.57,-5
1.78,-1.57,-5
1.78,-1.59,-5
1.78,-1.59,-5
1.78,-1.59,-5
1.78,-1.59,-5
1.8,-1.61,-5
1.8,-1.61,-5
1.8,-1.61,-5
1.8,-1.61,-5
1.82,-1.61,-5
1.82,-1.63,-5
1.82,-1.63,-5
1.82,-1.63,-5
1.82,-1.63,-5
1.84,-1.65,-5
1.84,-1.65,-5
1.84,-1.65,-5
1.84,-1.65,-5
1.84,-1.65,-5
1.86,-1.67,-5
1.86,-1.67,-5
1.86,-1.67,-5
1.86,-1.67,-5
1.88,-1.67,-5
1.88,-1.69,-5
1.88,-1.69,-5
1.88,-1.69,-5
1.88,-1.69,-5
1.9,-1.71,-5
1.9,-1.71,-5
1.9,-1.71,-5
1.9,-1.71,-5
1.9,-1.71,-5
1.92,-1.73,-5
1.92,-1.73,-5
1.92,-1.73,-5
1.92,-1.73,-5
1.94,-1.73,-5
1.94,-1.75,-5
1.94,-1.75,-5
1.94,-1.75,-5
1.94,-1.75,-5
1.96,-1.76,-5
1.96,-1.76,-5
1.96,-1.76,-5
1.96,-1.76,-5
1.98,-1.76,-5
1.98,-1.78,-5
1.98,-1.78,-5
1.98,-1.78,-5
1.98,-1.78,-5
2,-1.8,-5
2,-1.8,-5
2,-1.8,-5
2,-1.8,-5
2,-1.8,-5
2.02,-1.82,-5
2.02,-1.82,-5
2.02,-1.82,-5
2.02,-1.82,-5
2.04,-1.82,-5
2.04,-1.83,-5
2.04,-1.83,-5
2.04,-1.83,-5
2.04,-1.83,-5
2.06,-1.85,-5
2.06,-1.85,-5
2.06,-1.85,-5
2.06,-1.85,-5
2.06,-1.85,-5
2.08,-1.87,-5
2.08,-1.87,-5
2.08,-1.87,-5
2.08,-1.87,-5
2.1,-1.87,-5
2.1,-1.88,-5
2.1,-1.88,-5
2.1,-1.88,-5
2.1,-1.88,-5
2.12,-1.9,-5
2.12,-1.9,-5
2.12,-1.9,-5
2.12,-1.9,-5
2.14,-1.9,-5
2.14,-1.91,-5
2.14,-1.91,-5
2.14,-1.91,-5
2.14,-1.91,-5
2.16,-1.93,-5
2.16,-1.93,-5
2.16,-1.93,-5
2.16,-1.93,-5
2.16,-1.93,-5
2.18,-1.95,-5
2.18,-1.95,-5
2.18,-1.95,-5
2.18,-1.95,-5
2.2,-1.95,-5
2.2,-1.96,-5
2.2,-1.96,-5
2.2,-1.96,-5
2.2,-1.96,-5
2.22,-1.98,-5
2.22,-1.98,-5
2.22,-1.98,-5
2.22,-1.98,-5
2.24,-1.98,-5
2.24,-1.99,-5
2.24,-1.99,-5
2.24,-1.99,-5
2.24,-1.99,-5
2.26,-2.01,-5
2.26,-2.01,-5
2.26,-2.01,-5
2.26,-2.01,-5
2.28,-2.01,-5
2.28,-2.02,-5
2.28,-2.02,-5
2.28,-2.02,-5
2.28,-2.02,-5
2.3,-2.03,-5
2.3,-2.03,-5
2.3,-2.03,-5
2.3,-2.03,-5
2.3,-2.03,-5
2.32,-2.05,-5
2.32,-2.05,-5
2.32,-2.05,-5
2.32,-2.05,-5
2.34,-2.05,-5
2.34,-2.06,-5
2.34,-2.06,-5
2.34,-2.06,-5
2.34,-2.06,-5
2.36,-2.08,-5
2.36,-2.08,-5
2.36,-2.08,-5
2.36,-2.08,-5
2.38,-2.08,-5
2.38,-2.09,-5
2.38,-2.09,-5
2.38,-2.09,-5
2.38,-2.09,-5
2.4,-2.1,-5
2.4,-2.1,-5
2.4,-2.1,-5
2.4,-2.1,-5
2.42,-2.1,-5
2.42,-2.12,-5
2.42,-2.12,-5
2.42,-2.12,-5
2.42,-2.12,-5
2.44,-2.13,-5
2.44,-2.13,-5
2.44,-2.13,-5
2.44,-2.13,-5
2.46,-2.13,-5
2.46,-2.14,-5
2.46,-2.14,-5
2.46,-2.14,-5
2.46,-2.14,-5
2.48,-2.16,-5
2.48,-2.16,-5
2.48,-2.16,-5
2.48,-2.16,-5
2.48,-2.16,-5
2.5,-2.17,-5
2.5,-2.17,-5
2.5,-2.17,-5
2.5,-2.17,-5
2.52,-2.17,-5
2.52,-2.18,-5
2.52,-2.18,-5
2.52,-2.18,-5
2.52,-2.18,-5
2.54,-2.2,-5
2.54,-2.2,-5
2.54,-2.2,-5
2.54,-2.2,-5
2.56,-2.2,-5
2.56,-2.21,-5
2.56,-2.21,-5
2.56,-2.21,-5
2.56,-2.21,-5
2.58,-2.22,-5
2.58,-2.22,-5
2.58,-2.22,-5
2.58,-2.22,-5
2.6,-2.22,-5
2.6,-2.23,-5
2.6,-2.23,-5
2.6,-2.23,-5
2.6,-2.23,-5
2.62,-2.25,-5
2.62,-2.25,-5
2.62,-2.25,-5
2.62,-2.25,-5
2.64,-2.25,-5
2.64,-2.26,-5
2.64,-2.26,-5
2.64,-2.26,-5
2.64,-2.26,-5
2.66,-2.27,-5
2.66,-2.27,-5
2.66,-2.27,-5
2.66,-2.27,-5
2.66,-2.27,-5
2.68,-2.28,-5
2.68,-2.28,-5
2.68,-2.28,-5
2.68,-2.28,-5
2.7,-2.28,-5
2.7,-2.29,-5
2.7,-2.29,-5
2.7,-2.29,-5
2.7,-2.29,-5
2.72,-2.31,-5
2.72,-2.31,-5
2.72,-2.31,-5
2.72,-2.31,-5
2.74,-2.31,-5
2.74,-2.32,-5
2.74,-2.32,-5
2.74,-2.32,-5
2.74,-2.32,-5
2.76,-2.33,-5
2.76,-2.33,-5
2.76,-2.33,-5
2.76,-2.33,-5
2.78,-2.33,-5
2.78,-2.34,-5
2.78,-2.34,-5
2.78,-2.34,-5
2.78,-2.34,-5
2.8,-2.35,-5
2.8,-2.35,-5
2.8,-2.35,-5
2.8,-2.35,-5
2.8,-2.35,-5
2.82,-2.36,-5
2.82,-2.36,-5
2.82,-2.36,-5
2.82,-2.36,-5
2.84,-2.38,-5
2.84,-2.38,-5
2.84,-2.38,-5
2.84,-2.38,-5
