Time,sSignal,Setpoint
1985799.97,8.55,2
1985799.97,8.55,2
1985799.97,8.55,2
1985799.97,8.55,2
1985799.97,8.55,2
1985799.97,8.55,2
1985799.99,8.56,2
1985799.99,8.56,2
1985799.99,8.56,2
1985799.99,8.56,2
1985799.99,8.56,2
1985799.99,8.56,2
1985800.01,8.56,2
1985800.01,8.56,2
1985800.01,8.56,2
1985800.01,8.56,2
1985800.01,8.56,2
1985800.01,8.56,2
1985800.03,8.57,2
1985800.03,8.57,2
1985800.03,8.57,2
1985800.03,8.57,2
1985800.03,8.57,2
1985800.03,8.57,2
1985800.05,8.57,2
1985800.05,8.58,2
1985800.05,8.58,2
1985800.05,8.58,2
1985800.05,8.58,2
1985800.05,8.58,2
1985800.07,8.58,2
1985800.07,8.58,2
1985800.07,8.58,2
1985800.07,8.58,2
1985800.07,8.58,2
1985800.07,8.58,2
1985800.07,8.58,2
1985800.09,8.59,2
1985800.09,8.59,2
1985800.09,8.59,2
1985800.09,8.59,2
1985800.09,8.59,2
1985800.09,8.59,2
1985800.11,8.59,2
1985800.11,8.59,2
1985800.11,8.59,2
1985800.11,8.59,2
1985800.11,8.59,2
1985800.11,8.59,2
1985800.13,8.6,2
1985800.13,8.6,2
1985800.13,8.6,2
1985800.13,8.6,2
1985800.13,8.6,2
1985800.13,8.6,2
1985800.15,8.6,2
1985800.15,8.6,2
1985800.15,8.6,2
1985800.15,8.6,2
1985800.15,8.6,2
1985800.15,8.6,2
1985800.17,8.6,2
1985800.17,8.6,2
1985800.17,8.6,2
1985800.17,8.6,2
1985800.17,8.6,2
1985800.17,8.6,2
1985800.19,8.6,2
1985800.19,8.6,2
1985800.19,8.6,2
1985800.19,8.6,2
1985800.19,8.6,2
1985800.19,8.6,2
1985800.21,8.6,2
1985800.21,8.6,2
1985800.21,8.6,2
1985800.21,8.6,2
1985800.21,8.6,2
1985800.21,8.6,2
1985800.23,8.6,2
1985800.23,8.59,2
1985800.23,8.59,2
1985800.23,8.59,2
1985800.23,8.59,2
1985800.23,8.59,2
1985800.23,8.59,2
1985800.25,8.58,2
1985800.25,8.58,2
1985800.25,8.58,2
1985800.25,8.58,2
1985800.25,8.58,2
1985800.25,8.58,2
1985800.27,8.57,2
1985800.27,8.57,2
1985800.27,8.57,2
1985800.27,8.57,2
1985800.27,8.57,2
1985800.27,8.57,2
1985800.29,8.55,2
1985800.29,8.55,2
1985800.29,8.55,2
1985800.29,8.55,2
1985800.29,8.55,2
1985800.29,8.55,2
1985800.31,8.52,2
1985800.31,8.52,2
1985800.31,8.52,2
1985800.31,8.52,2
1985800.31,8.52,2
1985800.31,8.52,2
1985800.33,8.5,2
1985800.33,8.5,2
1985800.33,8.5,2
1985800.33,8.5,2
1985800.33,8.5,2
1985800.33,8.5,2
1985800.35,8.5,2
1985800.35,8.47,2
1985800.35,8.47,2
1985800.35,8.47,2
1985800.35,8.47,2
1985800.35,8.47,2
1985800.37,8.47,2
1985800.37,8.43,2
1985800.37,8.43,2
1985800.37,8.43,2
1985800.37,8.43,2
1985800.37,8.43,2
1985800.37,8.43,2
1985800.39,8.39,2
1985800.39,8.39,2
1985800.39,8.39,2
1985800.39,8.39,2
1985800.39,8.39,2
1985800.39,8.39,2
1985800.41,8.35,2
1985800.41,8.35,2
1985800.41,8.35,2
1985800.41,8.35,2
1985800.41,8.35,2
1985800.41,8.35,2
1985800.43,8.3,2
1985800.43,8.3,2
1985800.43,8.3,2
1985800.43,8.3,2
1985800.43,8.3,2
1985800.43,8.3,2
1985800.45,8.25,2
1985800.45,8.25,2
1985800.45,8.25,2
1985800.45,8.25,2
1985800.45,8.25,2
1985800.45,8.25,2
1985800.47,8.2,2
1985800.47,8.2,2
1985800.47,8.2,2
1985800.47,8.2,2
1985800.47,8.2,2
1985800.47,8.2,2
1985800.49,8.2,2
1985800.49,8.15,2
1985800.49,8.15,2
1985800.49,8.15,2
1985800.49,8.15,2
1985800.49,8.15,2
1985800.51,8.15,2
1985800.51,8.1,2
1985800.51,8.1,2
1985800.51,8.1,2
1985800.51,8.1,2
1985800.51,8.1,2
1985800.53,8.1,2
1985800.53,8.04,2
1985800.53,8.04,2
1985800.53,8.04,2
1985800.53,8.04,2
1985800.53,8.04,2
1985800.53,8.04,2
1985800.55,7.99,2
1985800.55,7.99,2
1985800.55,7.99,2
1985800.55,7.99,2
1985800.55,7.99,2
1985800.55,7.99,2
1985800.57,7.93,2
1985800.57,7.93,2
1985800.57,7.93,2
1985800.57,7.93,2
1985800.57,7.93,2
1985800.57,7.93,2
1985800.59,7.87,2
1985800.59,7.87,2
1985800.59,7.87,2
1985800.59,7.87,2
1985800.59,7.87,2
1985800.59,7.87,2
1985800.61,7.81,2
1985800.61,7.81,2
1985800.61,7.81,2
1985800.61,7.81,2
1985800.61,7.81,2
1985800.61,7.81,2
1985800.63,7.75,2
1985800.63,7.75,2
1985800.63,7.75,2
1985800.63,7.75,2
1985800.63,7.75,2
1985800.63,7.75,2
1985800.65,7.75,2
1985800.65,7.69,2
1985800.65,7.69,2
1985800.65,7.69,2
1985800.65,7.69,2
1985800.65,7.69,2
1985800.67,7.69,2
1985800.67,7.63,2
1985800.67,7.63,2
1985800.67,7.63,2
1985800.67,7.63,2
1985800.67,7.63,2
1985800.67,7.63,2
1985800.69,7.57,2
1985800.69,7.57,2
1985800.69,7.57,2
1985800.69,7.57,2
1985800.69,7.57,2
1985800.69,7.57,2
1985800.71,7.51,2
1985800.71,7.51,2
1985800.71,7.51,2
1985800.71,7.51,2
1985800.71,7.51,2
1985800.71,7.51,2
1985800.73,7.44,2
1985800.73,7.44,2
1985800.73,7.44,2
1985800.73,7.44,2
1985800.73,7.44,2
1985800.73,7.44,2
1985800.75,7.38,2
1985800.75,7.38,2
1985800.75,7.38,2
1985800.75,7.38,2
1985800.75,7.38,2
1985800.75,7.38,2
1985800.77,7.32,2
1985800.77,7.32,2
1985800.77,7.32,2
1985800.77,7.32,2
1985800.77,7.32,2
1985800.77,7.32,2
1985800.79,7.32,2
1985800.79,7.26,2
1985800.79,7.26,2
1985800.79,7.26,2
1985800.79,7.26,2
1985800.79,7.26,2
1985800.81,7.26,2
1985800.81,7.2,2
1985800.81,7.2,2
1985800.81,7.2,2
1985800.81,7.2,2
1985800.81,7.2,2
1985800.83,7.2,2
1985800.83,7.13,2
1985800.83,7.13,2
1985800.83,7.13,2
1985800.83,7.13,2
1985800.83,7.13,2
1985800.83,7.13,2
1985800.85,7.07,2
1985800.85,7.07,2
1985800.85,7.07,2
1985800.85,7.07,2
1985800.85,7.07,2
1985800.85,7.07,2
1985800.87,7.01,2
1985800.87,7.01,2
1985800.87,7.01,2
1985800.87,7.01,2
1985800.87,7.01,2
1985800.87,7.01,2
1985800.89,6.95,2
1985800.89,6.95,2
1985800.89,6.95,2
1985800.89,6.95,2
1985800.89,6.95,2
1985800.89,6.95,2
1985800.91,6.89,2
1985800.91,6.89,2
1985800.91,6.89,2
1985800.91,6.89,2
1985800.91,6.89,2
1985800.91,6.89,2
1985800.93,6.83,2
1985800.93,6.83,2
1985800.93,6.83,2
1985800.93,6.83,2
1985800.93,6.83,2
1985800.93,6.83,2
1985800.95,6.83,2
1985800.95,6.77,2
1985800.95,6.77,2
1985800.95,6.77,2
1985800.95,6.77,2
1985800.95,6.77,2
1985800.97,6.77,2
1985800.97,6.71,2
1985800.97,6.71,2
1985800.97,6.71,2
1985800.97,6.71,2
1985800.97,6.71,2
1985800.97,6.71,2
1985800.99,6.65,2
1985800.99,6.65,2
1985800.99,6.65,2
1985800.99,6.65,2
1985800.99,6.65,2
1985800.99,6.65,2
1985801.01,6.59,2
1985801.01,6.59,2
1985801.01,6.59,2
1985801.01,6.59,2
1985801.01,6.59,2
1985801.01,6.59,2
1985801.03,6.54,2
1985801.03,6.54,2
1985801.03,6.54,2
1985801.03,6.54,2
1985801.03,6.54,2
1985801.03,6.54,2
1985801.05,6.48,2
1985801.05,6.48,2
1985801.05,6.48,2
1985801.05,6.48,2
1985801.05,6.48,2
1985801.05,6.48,2
1985801.07,6.42,2
1985801.07,6.42,2
1985801.07,6.42,2
1985801.07,6.42,2
1985801.07,6.42,2
1985801.07,6.42,2
1985801.09,6.42,2
1985801.09,6.36,2
1985801.09,6.36,2
1985801.09,6.36,2
1985801.09,6.36,2
1985801.09,6.36,2
1985801.11,6.36,2
1985801.11,6.31,2
1985801.11,6.31,2
1985801.11,6.31,2
1985801.11,6.31,2
1985801.11,6.31,2
1985801.13,6.31,2
1985801.13,6.25,2
1985801.13,6.25,2
1985801.13,6.25,2
1985801.13,6.25,2
1985801.13,6.25,2
1985801.13,6.25,2
1985801.15,6.2,2
1985801.15,6.2,2
1985801.15,6.2,2
1985801.15,6.2,2
1985801.15,6.2,2
1985801.15,6.2,2
1985801.17,6.14,2
1985801.17,6.14,2
1985801.17,6.14,2
1985801.17,6.14,2
1985801.17,6.14,2
1985801.17,6.14,2
1985801.19,6.09,2
1985801.19,6.09,2
1985801.19,6.09,2
1985801.19,6.09,2
1985801.19,6.09,2
1985801.19,6.09,2
1985801.21,6.03,2
1985801.21,6.03,2
1985801.21,6.03,2
1985801.21,6.03,2
1985801.21,6.03,2
1985801.21,6.03,2
1985801.23,5.98,2
1985801.23,5.98,2
1985801.23,5.98,2
1985801.23,5.98,2
1985801.23,5.98,2
1985801.23,5.98,2
1985801.25,5.98,2
1985801.25,5.93,2
1985801.25,5.93,2
1985801.25,5.93,2
1985801.25,5.93,2
1985801.25,5.93,2
1985801.27,5.93,2
1985801.27,5.87,2
1985801.27,5.87,2
1985801.27,5.87,2
1985801.27,5.87,2
1985801.27,5.87,2
1985801.27,5.87,2
1985801.29,5.82,2
1985801.29,5.82,2
1985801.29,5.82,2
1985801.29,5.82,2
1985801.29,5.82,2
1985801.29,5.82,2
1985801.31,5.77,2
1985801.31,5.77,2
1985801.31,5.77,2
1985801.31,5.77,2
1985801.31,5.77,2
1985801.31,5.77,2
1985801.33,5.72,2
1985801.33,5.72,2
1985801.33,5.72,2
1985801.33,5.72,2
1985801.33,5.72,2
1985801.33,5.72,2
1985801.35,5.67,2
1985801.35,5.67,2
1985801.35,5.67,2
1985801.35,5.67,2
1985801.35,5.67,2
1985801.35,5.67,2
1985801.37,5.62,2
1985801.37,5.62,2
1985801.37,5.62,2
1985801.37,5.62,2
1985801.37,5.62,2
1985801.37,5.62,2
1985801.39,5.62,2
1985801.39,5.57,2
1985801.39,5.57,2
1985801.39,5.57,2
1985801.39,5.57,2
1985801.39,5.57,2
1985801.41,5.57,2
1985801.41,5.52,2
1985801.41,5.52,2
1985801.41,5.52,2
1985801.41,5.52,2
1985801.41,5.52,2
1985801.41,5.52,2
1985801.43,5.47,2
1985801.43,5.47,2
1985801.43,5.47,2
1985801.43,5.47,2
1985801.43,5.47,2
1985801.43,5.47,2
1985801.45,5.42,2
1985801.45,5.42,2
1985801.45,5.42,2
1985801.45,5.42,2
1985801.45,5.42,2
1985801.45,5.42,2
1985801.47,5.38,2
1985801.47,5.38,2
1985801.47,5.38,2
1985801.47,5.38,2
1985801.47,5.38,2
1985801.47,5.38,2
1985801.49,5.33,2
1985801.49,5.33,2
1985801.49,5.33,2
1985801.49,5.33,2
1985801.49,5.33,2
1985801.49,5.33,2
1985801.51,5.28,2
1985801.51,5.28,2
1985801.51,5.28,2
1985801.51,5.28,2
1985801.51,5.28,2
1985801.51,5.28,2
1985801.53,5.23,2
1985801.53,5.23,2
1985801.53,5.23,2
1985801.53,5.23,2
1985801.53,5.23,2
1985801.53,5.23,2
1985801.55,5.23,2
1985801.55,5.19,2
1985801.55,5.19,2
1985801.55,5.19,2
1985801.55,5.19,2
1985801.55,5.19,2
1985801.57,5.19,2
1985801.57,5.14,2
1985801.57,5.14,2
1985801.57,5.14,2
1985801.57,5.14,2
1985801.57,5.14,2
1985801.57,5.14,2
1985801.59,5.1,2
1985801.59,5.1,2
1985801.59,5.1,2
1985801.59,5.1,2
1985801.59,5.1,2
1985801.59,5.1,2
1985801.61,5.05,2
1985801.61,5.05,2
1985801.61,5.05,2
1985801.61,5.05,2
1985801.61,5.05,2
1985801.61,5.05,2
1985801.63,5.01,2
1985801.63,5.01,2
1985801.63,5.01,2
1985801.63,5.01,2
1985801.63,5.01,2
1985801.63,5.01,2
1985801.65,4.97,2
1985801.65,4.97,2
1985801.65,4.97,2
1985801.65,4.97,2
1985801.65,4.97,2
1985801.65,4.97,2
1985801.67,4.92,2
1985801.67,4.92,2
1985801.67,4.92,2
1985801.67,4.92,2
1985801.67,4.92,2
1985801.67,4.92,2
1985801.69,4.92,2
1985801.69,4.88,2
1985801.69,4.88,2
1985801.69,4.88,2
1985801.69,4.88,2
1985801.69,4.88,2
1985801.71,4.88,2
1985801.71,4.84,2
1985801.71,4.84,2
1985801.71,4.84,2
1985801.71,4.84,2
1985801.71,4.84,2
1985801.71,4.84,2
1985801.73,4.8,2
1985801.73,4.8,2
1985801.73,4.8,2
1985801.73,4.8,2
1985801.73,4.8,2
1985801.73,4.8,2
1985801.75,4.76,2
1985801.75,4.76,2
1985801.75,4.76,2
1985801.75,4.76,2
1985801.75,4.76,2
1985801.75,4.76,2
1985801.77,4.72,2
1985801.77,4.72,2
1985801.77,4.72,2
1985801.77,4.72,2
1985801.77,4.72,2
1985801.77,4.72,2
1985801.79,4.68,2
1985801.79,4.68,2
1985801.79,4.68,2
1985801.79,4.68,2
1985801.79,4.68,2
1985801.79,4.68,2
1985801.81,4.64,2
1985801.81,4.64,2
1985801.81,4.64,2
1985801.81,4.64,2
1985801.81,4.64,2
1985801.81,4.64,2
1985801.83,4.6,2
1985801.83,4.6,2
1985801.83,4.6,2
1985801.83,4.6,2
1985801.83,4.6,2
1985801.83,4.6,2
1985801.85,4.6,2
1985801.85,4.56,2
1985801.85,4.56,2
1985801.85,4.56,2
1985801.85,4.56,2
1985801.85,4.56,2
1985801.87,4.56,2
1985801.87,4.52,2
1985801.87,4.52,2
1985801.87,4.52,2
1985801.87,4.52,2
1985801.87,4.52,2
1985801.87,4.52,2
1985801.89,4.49,2
1985801.89,4.49,2
1985801.89,4.49,2
1985801.89,4.49,2
1985801.89,4.49,2
1985801.89,4.49,2
