Time,Signal,Setpoint
0,4.11,-10
0,4.11,-10
0,4.11,-10
0,4.11,-10
0,4.11,-10
0,4.11,-10
0.02,4.11,-10
0.02,4.11,-10
0.02,4.11,-10
0.02,4.11,-10
0.02,4.11,-10
0.02,4.11,-10
0.04,4.11,-10
0.04,4.11,-10
0.04,4.11,-10
0.04,4.11,-10
0.04,4.11,-10
0.06,4.09,-10
0.06,4.09,-10
0.06,4.09,-10
0.06,4.09,-10
0.06,4.09,-10
0.06,4.09,-10
0.08,4.05,-10
0.08,4.05,-10
0.08,4.05,-10
0.08,4.05,-10
0.08,4.05,-10
0.08,4.05,-10
0.1,4,-10
0.1,4,-10
0.1,4,-10
0.1,4,-10
0.1,4,-10
0.12,3.93,-10
0.12,3.93,-10
0.12,3.93,-10
0.12,3.93,-10
0.12,3.93,-10
0.12,3.93,-10
0.14,3.85,-10
0.14,3.85,-10
0.14,3.85,-10
0.14,3.85,-10
0.14,3.85,-10
0.14,3.85,-10
0.16,3.78,-10
0.16,3.78,-10
0.16,3.78,-10
0.16,3.78,-10
0.16,3.78,-10
0.18,3.7,-10
0.18,3.7,-10
0.18,3.7,-10
0.18,3.7,-10
0.18,3.7,-10
0.18,3.7,-10
0.2,3.61,-10
0.2,3.61,-10
0.2,3.61,-10
0.2,3.61,-10
0.2,3.61,-10
0.2,3.61,-10
0.22,3.49,-10
0.22,3.49,-10
0.22,3.49,-10
0.22,3.49,-10
0.22,3.49,-10
0.22,3.49,-10
0.24,3.37,-10
0.24,3.37,-10
0.24,3.37,-10
0.24,3.37,-10
0.24,3.37,-10
0.26,3.24,-10
0.26,3.24,-10
0.26,3.24,-10
0.26,3.24,-10
0.26,3.24,-10
0.26,3.24,-10
0.28,3.1,-10
0.28,3.1,-10
0.28,3.1,-10
0.28,3.1,-10
0.28,3.1,-10
0.28,3.1,-10
0.3,2.94,-10
0.3,2.94,-10
0.3,2.94,-10
0.3,2.94,-10
0.3,2.94,-10
0.32,2.78,-10
0.32,2.78,-10
0.32,2.78,-10
0.32,2.78,-10
0.32,2.78,-10
0.32,2.78,-10
0.34,2.6,-10
0.34,2.6,-10
0.34,2.6,-10
0.34,2.6,-10
0.34,2.6,-10
0.34,2.6,-10
0.36,2.42,-10
0.36,2.42,-10
0.36,2.42,-10
0.36,2.42,-10
0.36,2.42,-10
0.38,2.23,-10
0.38,2.23,-10
0.38,2.23,-10
0.38,2.23,-10
0.38,2.23,-10
0.38,2.23,-10
0.4,2.04,-10
0.4,2.04,-10
0.4,2.04,-10
0.4,2.04,-10
0.4,2.04,-10
0.4,2.04,-10
0.42,1.83,-10
0.42,1.83,-10
